"","sacwt","batch16","tibia","edl","soleus","testis","abnormal.bmd"
"43336",40.1,0,18.79,NA,9.5,0.2109,0
"43337",37.6,0,19.39,14.8,10.2,0.2248,1
"43338",34.3,0,18.56,12.2,9.6,0.2038,0
"43339",40.1,0,18.81,12.2,11.2,0.1784,0
"43340",34.5,0,18.87,12.6,10.4,0.151,0
"43341",40.8,0,18.91,11.1,10.2,0.1931,1
"43342",30.9,0,18.14,10.5,9.1,0.2182,1
"43343",44,0,19.18,16.7,13.6,0.2352,1
"43344",36.7,0,19.19,14.2,10.5,0.1306,0
"43345",36.4,0,18.44,11,8.1,0.155,1
"43346",38.5,0,18.95,13.7,9.9,0.168,0
"43347",39.9,0,19.25,17.2,11.4,0.2322,0
"43348",40,0,18.7,13.3,13.7,0.2171,0
"43349",35.4,0,18.34,11.2,6.9,0.1653,0
"43350",31.1,0,18.91,11.2,9.6,0.1729,0
"43351",33.5,0,18.12,12.5,NA,0.167,1
"43352",35.4,0,17.92,10.4,8.8,0.1901,1
"43353",35.9,0,18.63,11.6,8.3,0.179,0
"43354",37.9,0,18.4,13.9,9.2,0.2099,NA
"43355",34.4,0,18.83,12.8,12.3,0.1989,0
"43356",37.6,0,19.46,14,8.9,0.1961,0
"43357",33.5,0,18.5,11.1,11.1,0.1753,0
"43358",44.2,0,18.93,13.8,8.9,0.211,0
"43359",42,0,18.97,16,10.4,0.1936,0
"43360",43.4,0,19.56,11.9,11.5,0.186,0
"43361",32.2,0,18.59,11.4,7.7,0.1876,0
"43362",40.3,0,19.74,15,8.9,0.1981,0
"43363",34.5,0,18.59,11.5,11.8,0.2112,0
"43364",38.8,0,19.29,14,8.1,0.2171,0
"43365",41.4,0,18.54,12.1,11.1,0.2118,1
"43366",35.3,0,18.23,10.8,8.9,0.1961,0
"43367",39.6,0,18.82,12.3,9.5,0.1944,0
"43368",41.8,0,19.13,12.5,10.1,0.2138,0
"43369",42.2,0,18.82,12.6,11.4,0.1814,0
"43370",37.7,0,19.47,14.6,12.2,0.1928,1
"43371",42.3,0,18.54,12,12.9,0.2058,0
"43372",41,0,18.78,12.3,10.3,0.1664,1
"43416",37.7,0,17.86,11.9,9.6,0.2014,0
"43417",37.2,0,18.76,11.4,11.2,0.1768,1
"43418",36.2,0,18.49,11.9,8.9,0.1655,0
"43419",51.9,0,19.82,13.9,12.1,0.2208,0
"43420",44.5,0,18.65,10.5,8.7,0.2093,0
"43421",37.3,0,18.02,12.5,8.7,0.1892,0
"43422",35.6,0,18.23,12.2,9.6,0.1625,0
"43424",47.8,0,19.13,16.2,11,0.2214,0
"43425",39.9,0,18.56,14.2,10.8,0.1913,0
"43426",30.6,0,16.92,9.3,6.5,0.195,0
"43427",37.9,0,18.34,11.5,10.5,0.1635,0
"43428",40.5,0,17.75,13.4,11.6,0.2174,0
"43429",33.8,0,18.31,12.3,8.5,0.1895,0
"43431",34.1,0,18.25,11.2,7.7,0.2026,0
"43433",40.6,0,NA,11.8,6.7,0.1802,0
"43436",38.8,0,18.2,11.3,9.8,0.202,0
"43437",46.5,0,19.4,16.2,11.2,0.2038,0
"43438",31.7,0,17.97,11.8,7.5,0.2456,0
"43439",38.6,0,18.25,13,10.6,0.1617,1
"43440",44,0,18.04,13.1,9.2,0.2004,0
"43441",43.7,0,18.62,13.8,10.5,0.1735,0
"43442",42.8,0,18.84,11.5,12.3,0.1859,0
"43443",36.6,0,18.59,10.8,11.2,0.2039,0
"43445",34.1,0,18.5,11.9,7.3,0.203,0
"43446",33.8,0,18.48,12.9,10.3,0.1653,1
"43448",40.5,0,18.09,13.9,11.8,0.2082,0
"43449",36.5,0,18.36,12.1,8.6,0.1739,0
"43450",36.5,0,18.56,12.3,9.7,0.1672,0
"43451",NA,0,18.15,11.6,10.3,0.1872,0
"43452",37.3,0,18.32,11.6,8.6,0.1851,0
"43453",35.2,0,18.56,13.9,9.5,0.1887,0
"43454",37.3,0,18.44,11.9,6.5,0.1846,0
"43455",39.5,0,18.75,12.4,9.3,0.157,0
"43456",38.6,0,18.67,13.8,13.7,0.1731,NA
"43459",35.4,0,18.44,11.8,9.6,0.2136,NA
"43460",40.1,0,18.59,12.3,9.3,0.1994,1
"43461",35.2,0,18.53,11.4,10.1,0.1983,0
"43462",39.3,0,17.89,13.8,8.9,0.2013,1
"43725",34.7,0,18.67,13,7.7,0.1948,NA
"43726",36.8,0,18.42,13.7,8.2,0.1929,NA
"43730",30.9,0,17.74,12.7,9.4,0.1934,0
"43731",38.7,0,18.27,10.7,8.2,0.1879,NA
"43732",35.9,0,17.57,12.5,8.5,0.2008,NA
"43733",37.5,0,18.29,11.7,10.2,0.2186,1
"43734",35.3,0,18.29,12.9,10.8,0.2307,0
"43735",41.3,0,17.75,12,10.4,0.2,0
"43736",37.5,0,17.37,14.1,10.6,0.1755,NA
"43737",41.7,0,18.52,11.8,8.6,0.1839,0
"43738",39.8,0,17.81,11.2,10.2,0.185,NA
"43740",37,0,18.25,12.2,9.8,0.1892,0
"43741",35.4,0,18.36,11,9.3,0.2026,0
"43743",40.9,0,17.86,15.3,9.4,0.197,1
"43744",40.6,0,18.77,12.8,7.3,0.1711,1
"43746",36.4,0,17.87,13.3,10.3,0.2052,NA
"43748",35.4,0,18.32,13,9.5,0.1449,NA
"43749",44,0,17.91,12.5,8,0.2037,0
"43751",42.5,0,17.5,11.6,9.6,0.2009,1
"43753",45,0,18.72,13,10.1,0.2024,0
"43754",45.1,0,18.32,13.6,10.9,0.2098,0
"43755",35.4,0,18.08,11,6.5,0.2137,0
"43756",53.9,0,18.06,14,9.5,0.2165,0
"43758",37.7,0,18.02,14.4,9.8,0.1978,0
"43760",41.5,0,18.46,14.4,10,0.1913,0
"43761",41.1,0,18.22,11.9,10.7,0.183,0
"43762",39.6,0,18.49,13.5,9.5,0.1962,0
"43763",45.1,0,18.99,13.8,11.2,0.2056,0
"43764",54,0,18.43,11.8,9,0.176,0
"43765",39.2,0,18.6,12.2,9.3,0.2286,0
"43766",38.7,0,18.74,13.1,9.9,0.2073,0
"43768",37,0,18.18,12.3,10.3,0.1776,0
"43769",44.2,0,18.06,11.5,9.9,0.2108,1
"43770",38.5,0,18.62,13.3,12.1,0.1786,1
"43771",39.5,0,18.86,14.4,9.9,0.2259,0
"43772",34.4,0,17.97,12.8,9.1,0.1814,0
"43902",38.1,0,17.92,13,9.3,0.2126,NA
"43903",49.7,0,18.67,15.3,NA,0.1738,NA
"43904",36.5,0,18.12,12.6,9.7,0.1899,NA
"43906",34.9,0,18.75,10.5,7.7,0.1884,NA
"43907",33.8,0,18.41,11,9.1,0.1789,0
"43908",37.3,0,18.57,11.8,8.6,0.2085,0
"43910",39.7,0,18.67,13.9,10.9,0.2038,NA
"43911",36.6,0,18.17,10.7,8.9,0.1805,NA
"43912",39.4,0,18.76,11.4,8.9,0.1832,0
"43913",37.9,0,18.14,10.8,9.2,0.2259,NA
"43914",32.9,0,18.35,11.1,9.6,0.2198,NA
"43915",39,0,19.26,12.2,12.9,0.22,0
"43916",33.8,0,18.52,12,10.2,0.1926,NA
"43917",38.7,0,17.79,11.8,6.9,0.2061,NA
"43918",43.8,0,18.87,13.3,7.4,0.216,0
"43920",36.6,0,18.19,11.9,8,0.1695,NA
"43921",35.1,0,18.35,13.3,9.5,NA,NA
"43922",31.5,0,18.84,9.9,9,0.1951,0
"43923",34.2,0,18.87,11.7,8.1,0.2081,NA
"43925",31.9,0,18.36,10.3,8.3,0.1703,NA
"43926",37.6,0,18.85,15.8,10.9,0.2328,0
"43927",41.6,0,18.74,NA,8.9,0.1752,NA
"43928",36.4,0,18.44,13.2,10.6,0.1714,0
"43929",37.9,0,18.91,12.9,11.5,0.2064,0
"43930",34.6,0,18.2,12.2,8.1,0.2234,0
"43932",38.1,0,18.91,11.7,13.7,0.1317,0
"43933",31.5,0,18.1,10.4,8.2,0.1738,0
"43934",35.8,0,18.41,11.8,7.3,0.1899,0
"43936",33.7,0,18.26,10.4,7.6,0.1993,0
"43937",37.6,0,18.66,12.6,9.2,0.1756,0
"43938",44.2,0,18.96,13.9,9.1,0.124,0
"43939",37.1,0,18.68,11.9,8,0.1659,0
"43940",31.5,0,18.33,11.8,10.9,0.182,1
"43941",36.6,0,18.53,11.2,8.2,0.1755,0
"43942",35.2,0,18.35,11.1,8.7,0.1577,0
"43943",34.4,0,17.82,12.1,11.6,0.2216,0
"43944",42.5,0,19.34,12.5,10.7,0.2158,0
"43945",38.1,0,18.88,14.3,12.4,0.2295,1
"43946",37.8,0,18.94,12.1,8.8,0.1752,NA
"43947",40.3,0,18.81,13.9,10,0.2086,0
"43948",36.3,0,18.57,13.5,9.6,0.1663,NA
"44230",46.5,0,18.32,13.1,9.9,0.1862,0
"44231",34.8,0,17.66,10.8,8.2,0.1883,0
"44232",35.6,0,17.34,11.7,8.8,0.2088,0
"44233",39.2,0,18.56,13.2,9.6,0.1918,0
"44234",50.4,0,19.18,16.6,12.1,0.206,0
"44235",42.3,0,19.29,NA,9.4,0.2632,NA
"44236",50.3,0,18.12,12.7,9.4,0.1697,NA
"44237",44.9,0,18.62,11.6,8.8,0.1851,NA
"44238",40.7,0,19.03,12.5,7.9,0.1918,NA
"44239",49,0,18.5,15.2,13.1,0.1891,0
"44240",28.8,0,18.63,NA,7.7,0.1753,0
"44241",47.5,0,18.51,14.4,10.3,0.2156,1
"44242",38.5,0,18.65,11.5,9.8,0.212,0
